DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
02M527,P.S. 527 - East Side School for Social Action,474,13,0.0274261609,s,s,s,7
02M529,Jacqueline Kennedy Onassis High School,200,20,0.1000000015,9,s,s,8
02M531,Repertory Company High School for Theatre Arts,241,8,0.0331950225,s,s,s,6
02M533,Union Square Academy for Health Sciences,411,37,0.0900243297,10,s,s,23
02M534,Harvest Collegiate High School,480,34,0.0708333328,11,s,s,22
02M542,Manhattan Bridges High School,518,94,0.1814671755,13,s,s,80
02M543,New Design High School,508,57,0.1122047231,27,11,16,25
02M544,Independence High School,358,59,0.1648044735,35,16,19,18
02M545,High School for Dual Language and Asian Studies,403,63,0.1563275456,s,s,s,61
02M546,Academy for Software Engineering,450,33,0.0733333305,13,s,s,15
02M550,Liberty High School Academy for Newcomers,440,146,0.3318181932,25,16,9,107
02M551,Urban Assembly New York Harbor School,510,28,0.0549019612,9,s,s,18
02M560,High School M560 - City As School,602,54,0.0897009969,20,6,14,30
02M565,Urban Academy Laboratory High School,149,8,0.0536912754,s,s,s,s
02M570,Satellite Academy High School,233,18,0.0772532225,8,s,s,8
02M575,Manhattan Comprehensive Night and Day High School,833,98,0.1176470593,46,13,33,40
02M580,Richard R. Green High School of Teaching,293,20,0.0682593882,8,s,s,10
02M586,Harvey Milk High School,67,8,0.1194029823,s,s,s,s
02M600,The High School of Fashion Industries,1654,124,0.0749697685,51,20,31,69
02M605,Humanities Preparatory Academy,256,33,0.12890625,s,s,s,28
02M615,Chelsea Career and Technical Education High School,474,42,0.0886075944,20,s,s,20
02M630,Art and Design High School,1503,52,0.0345974714,10,s,s,41
02M655,Life Sciences Secondary School,350,28,0.0799999982,8,s,s,17
02M700,Universal Pre-K C.B.O.,849,42,0.0494699664,16,s,s,22
02M896,Lower Manhattan Community Middle School,385,9,0.0233766232,s,s,s,7
02M933,City Knoll Middle School,137,40,0.2919707894,26,19,7,11
03M009,P.S. 009 Sarah Anderson,531,32,0.0602636524,8,s,s,24
03M054,J.H.S. 054 Booker T. Washington,841,22,0.0261593349,7,s,s,14
03M075,P.S. 075 Emily Dickinson,497,58,0.1167002022,37,s,s,17
03M076,P.S. 076 A. Philip Randolph,324,81,0.25,48,42,6,33
03M084,P.S. 084 Lillian Weber,647,23,0.035548687,7,s,s,13
03M087,P.S. 087 William Sherman,806,s,s,s,s,s,s
03M145,"P.S. 145, The Bloomingdale School",413,50,0.1210653782,38,29,9,12
03M149,P.S. 149 Sojourner Truth,216,39,0.1805555522,19,7,12,18
03M163,P.S. 163 Alfred E. Smith,503,48,0.0954274386,17,s,s,24
03M165,P.S. 165 Robert E. Simon,415,70,0.1686746925,27,20,7,42
03M166,P.S. 166 The Richard Rodgers School of The Arts an,610,15,0.0245901644,6,s,s,7
03M180,P.S. 180 Hugo Newman,462,73,0.1580086648,24,s,s,45
03M185,The Locke School of Arts and Engineering,328,27,0.0823170766,18,s,s,7
03M191,The Riverside School for Makers and Artists,575,69,0.1199999973,32,11,21,29
03M199,P.S. 199 Jessie Isador Straus,653,s,s,s,s,s,s
03M241,STEM Institute of Manhattan,115,13,0.1130434796,7,s,s,6
03M242,P.S. 242 - The Young Diplomats Magnet Academy,137,37,0.2700729966,22,s,s,13
03M243,M.S. 243 Center School,255,6,0.0235294122,s,s,s,s
03M245,M.S. M245 The Computer School,421,20,0.0475059375,s,s,s,18
03M247,M.S. M247 Dual Language Middle School,235,40,0.1702127606,9,s,s,31
03M250,M.S. 250 West Side Collaborative Middle School,119,12,0.1008403376,s,s,s,8
03M256,Lafayette Academy,184,15,0.081521742,7,s,s,7
03M258,Community Action School - MS 258,232,35,0.1508620679,19,10,9,16
03M291,West End Secondary School,686,27,0.039358601,s,s,s,20
03M299,The Maxine Greene HS for Imaginative Inquiry,196,20,0.1020408198,7,s,s,13
03M307,"Urban Assembly School for Media Studies, The",381,51,0.1338582635,15,s,s,34
03M333,P.S. 333 Manhattan School for Children,579,15,0.025906736,s,s,s,9
03M334,The Anderson School,518,s,s,s,s,s,s
03M402,The Urban Assembly School for Green Careers,302,37,0.1225165576,8,s,s,26
03M403,The Global Learning Collaborative,458,66,0.1441048086,18,s,s,42
03M404,Innovation Diploma Plus,176,20,0.113636367,8,s,s,8
03M415,Wadleigh Secondary School for the Performing & Vis,360,55,0.1527777761,32,18,14,22
03M417,Frank McCourt High School,410,8,0.0195121951,s,s,s,8
03M421,West Prep Academy,184,29,0.1576087028,13,s,s,14
03M444,Home Schooling,368,9,0.0244565215,s,s,s,s
03M452,P.S. 452,399,9,0.0225563906,6,s,s,s
03M479,Beacon High School,1524,14,0.0091863517,s,s,s,10
03M485,Fiorello H. LaGuardia High School of Music & Art a,2733,16,0.0058543724,s,s,s,12
03M492,"High School for Law, Advocacy and Community Justic",392,52,0.1326530576,25,10,15,23
03M494,High School of Arts and Technology,456,41,0.0899122804,20,10,10,20
03M505,Edward A. Reynolds West Side High School,265,29,0.1094339639,14,7,7,12
03M541,Manhattan / Hunter Science High School,454,16,0.0352422893,s,s,s,14
03M700,Universal Pre-K C.B.O.,674,24,0.0356083103,21,s,s,s
03M859,Special Music School,303,s,s,s,s,s,s
03M860,Frederick Douglass Academy II Secondary School,339,57,0.1681415886,34,21,13,17
03M862,Mott Hall II,395,12,0.0303797461,9,s,s,s
04M007,P.S. 007 Samuel Stern,379,90,0.2374670208,45,29,16,42
04M012,Tag Young Scholars,578,15,0.0259515569,s,s,s,11
04M037,River East Elementary,276,37,0.1340579689,18,11,7,15
04M038,P.S. 38 Roberto Clemente,217,60,0.2764976919,38,32,6,19
04M057,James Weldon Johnson,620,116,0.1870967746,37,27,10,78
04M072,The Lexington Academy,567,143,0.252204597,70,47,23,70
04M083,P.S. 083 Luis Munoz Rivera,370,40,0.1081081107,19,12,7,19
04M096,P.S. 096 Joseph Lanzetta,398,101,0.2537688315,47,31,16,41
04M102,P.S. 102 Jacques Cartier,198,39,0.1969697028,20,8,12,18
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,427,43,0.1007025763,19,11,8,21
04M112,P.S. 112 Jose Celso Barbosa,283,25,0.0883392245,15,s,s,10
04M146,P.S. 146 Ann M. Short,351,84,0.23931624,47,38,9,37
04M155,P.S. 155 William Paca,227,46,0.202643171,13,s,s,33
04M171,P.S. 171 Patrick Henry,790,78,0.0987341776,29,s,s,44
04M182,The Bilingual Bicultural School,269,79,0.2936803102,16,s,s,63
04M206,P.S. 206 Jose Celso Barbosa,454,65,0.1431718022,25,10,15,37
04M224,M.S. 224 Manhattan East School for Arts & Academic,210,11,0.052380953,s,s,s,8
04M310,The Judith S. Kaye School,217,22,0.1013824865,12,s,s,7
04M372,Esperanza Preparatory Academy,487,99,0.2032854259,27,16,11,70
04M375,Mosaic Preparatory Academy,227,52,0.2290748954,28,18,10,24
04M377,Renaissance School of the Arts,202,34,0.1683168262,18,s,s,15
04M435,Manhattan Center for Science and Mathematics,1632,55,0.0337009802,18,s,s,34
04M444,Home Schooling,142,18,0.1267605573,10,s,s,7
04M495,Park East High School,387,28,0.0723514184,s,s,s,23
04M497,Central Park East I,158,14,0.0886075944,s,s,s,9
04M555,Central Park East High School,521,30,0.0575815737,s,s,s,21
04M610,Young Women's Leadership School,478,19,0.0397489555,6,s,s,13
04M680,"Heritage School, The",319,36,0.1128526628,17,11,6,17
04M700,Universal Pre-K C.B.O.,615,28,0.0455284566,20,s,s,7
04M825,Isaac Newton Middle School for Math & Science,323,36,0.1114551052,11,s,s,25
04M964,Central Park East II,445,47,0.1056179777,21,13,8,23
05M030,P.S. 030 Hernandez/Hughes,228,52,0.2280701697,22,10,12,30
05M036,P.S. 036 Margaret Douglas,314,65,0.2070063651,20,13,7,45
05M046,P.S. 046 Arthur Tappan,524,93,0.1774809211,36,24,12,53
05M092,P.S. 092 Mary McLeod Bethune,228,53,0.2324561477,31,s,s,14
05M123,P.S. 123 Mahalia Jackson,452,191,0.4225663841,103,63,40,82
05M125,P.S. 125 Ralph Bunche,297,25,0.0841750875,s,s,s,18
05M129,P.S. 129 John H. Finley,334,87,0.260479033,42,21,21,44
05M133,P.S. 133 Fred R Moore,218,38,0.174311921,27,16,11,11
05M148,Eagle Academy for Young Men of Harlem,320,50,0.15625,19,9,10,27
05M154,P.S. 154 Harriet Tubman,242,42,0.1735537201,28,17,11,13
05M157,The Urban Assembly School for Global Commerce,199,38,0.1909547746,21,14,7,15
05M161,P.S. 161 Pedro Albizu Campos,703,204,0.2901849151,53,32,21,124
05M175,P.S. 175 Henry H Garnet,328,52,0.1585365832,45,37,8,6
05M194,P.S. 194 Countee Cullen,187,67,0.358288765,34,25,9,26
05M197,P.S. 197 John B. Russwurm,238,57,0.2394957989,34,17,17,19
05M200,P.S. 200- The James McCune Smith School,330,58,0.1757575721,41,23,18,16
05M285,Harlem Renaissance High School,197,28,0.1421319842,15,9,6,10
05M286,Urban Assembly Academy for Future Leaders,99,26,0.2626262605,19,11,8,6
05M304,Mott Hall High School,200,42,0.2099999934,16,7,9,23
05M318,Thurgood Marshall Academy Lower School,189,41,0.2169312239,10,s,s,25
05M362,Columbia Secondary School,700,32,0.0457142852,s,s,s,22
05M369,Urban Assembly School for the Performing Arts,374,53,0.141711235,28,12,16,22
05M371,School of Earth Exploration and Discovery Harlem (,79,6,0.0759493634,s,s,s,s
05M444,Home Schooling,228,8,0.0350877196,s,s,s,s
05M499,Frederick Douglass Academy,973,122,0.1253854036,64,27,37,52
05M514,New Design Middle School,145,27,0.1862068921,17,7,10,9
05M517,Teachers College Community School,376,36,0.0957446843,11,s,s,21
05M670,Thurgood Marshall Academy for Learning and Social,539,68,0.1261595488,27,8,19,38
05M692,"High School for Mathematics, Science and Engineeri",497,7,0.0140845068,s,s,s,s
05M700,Universal Pre-K C.B.O.,787,82,0.1041931361,54,29,25,26
06M004,P.S. 004 Duke Ellington,467,64,0.1370449662,16,10,6,46
06M005,P.S. 005 Ellen Lurie,551,86,0.1560798585,37,23,14,45
06M008,P.S. 008 Luis Belliard,453,63,0.1390728503,17,s,s,43
06M018,P.S. 018 Park Terrace,321,108,0.3364486098,s,s,s,104
06M028,P.S. 028 Wright Brothers,495,124,0.25050506,29,15,14,92
06M048,P.S. 048 P.O. Michael J. Buczek,432,80,0.1851851791,s,s,s,74
06M052,Harold O. Levy School,250,56,0.2240000069,7,s,s,48
06M098,P.S. 098 Shorac Kappock,372,69,0.1854838729,s,s,s,64
06M103,Dos Puentes Elementary School,425,95,0.2235294133,10,s,s,80
06M115,P.S. 115 Alexander Humboldt,404,88,0.2178217769,14,6,8,70
06M128,P.S. 128 Audubon,606,146,0.2409240901,10,s,s,134
06M132,P.S. 132 Juan Pablo Duarte,193,47,0.2435233146,14,s,s,33
06M143,J.H.S. 143 Eleanor Roosevelt,236,31,0.1313559264,6,s,s,25
06M152,P.S. 152 Dyckman Valley,512,159,0.310546875,12,s,s,146
06M153,P.S. 153 Adam Clayton Powell,450,113,0.25111112,19,13,6,92
06M173,P.S. 173,453,29,0.0640176609,14,8,6,15
06M178,Professor Juan Bosch Public School,262,33,0.1259541959,s,s,s,30
06M187,P.S./I.S. 187 Hudson Cliffs,786,46,0.0585241728,s,s,s,37
06M189,P.S. 189,588,43,0.0731292516,11,s,s,22
06M192,P.S. 192 Jacob H. Schiff,333,52,0.1561561525,27,16,11,25
06M209,Hamilton Grange Middle School,354,52,0.1468926519,13,7,6,39
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,445,35,0.078651689,18,10,8,16
06M211,Inwood Early College for Health and Information Te,422,46,0.1090047359,9,s,s,35
06M223,The Mott Hall School,270,13,0.0481481478,s,s,s,9
06M278,Paula Hedbavny School,484,42,0.0867768601,7,s,s,35
06M293,City College Academy of the Arts,624,58,0.0929487199,7,s,s,51
06M311,Amistad Dual Language School,421,52,0.123515442,s,s,s,47
06M314,Muscota,298,8,0.0268456377,s,s,s,8
06M319,M.S. 319 - Maria Teresa,332,62,0.1867469847,6,s,s,55
06M322,Middle School 322,297,112,0.3771043718,9,s,s,101
06M324,M.S. 324 - Patria Mirabal,280,49,0.174999997,12,6,6,34
06M328,Community Math & Science Prep,140,8,0.0571428575,8,s,s,s
06M346,Community Health Academy of the Heights,670,86,0.1283582151,15,s,s,71
06M348,Washington Heights Expeditionary Learning School,957,88,0.0919540226,14,7,7,71
06M349,Harbor Heights,103,40,0.3883495033,s,s,s,35
06M366,Washington Heights Academy,570,49,0.0859649107,s,s,s,45
06M368,Hamilton Heights School,233,43,0.1845493615,20,10,10,22
06M423,High School for Excellence and Innovation,169,39,0.2307692319,7,s,s,31
06M444,Home Schooling,242,7,0.02892562,s,s,s,6
06M462,The College Academy,365,103,0.2821917832,17,s,s,85
06M463,High School for Media and Communications,336,113,0.3363095224,s,s,s,104
06M467,High School for Law and Public Service,400,68,0.1700000018,13,s,s,53
06M468,High School for Health Careers and Sciences,382,74,0.1937172711,12,s,s,59
06M513,Castle Bridge School,183,19,0.103825137,s,s,s,18
06M528,I.S. 528 Bea Fuller Rodgers School,259,37,0.1428571492,8,s,s,27
06M540,A. Philip Randolph Campus High School,1495,190,0.1270903051,65,30,35,113
06M552,Gregorio Luperon High School for Science and Mathe,564,189,0.3351063728,17,7,10,170
06M700,Universal Pre-K C.B.O.,1590,102,0.0641509444,22,16,6,79
07X001,P.S. 001 Courtlandt School,554,72,0.1299639046,44,30,14,26
07X005,P.S. 5 Port Morris,647,118,0.1823802143,71,59,12,47
07X018,P.S. 018 John Peter Zenger,458,94,0.2052401751,40,34,6,50
07X025,P.S. 025 Bilingual School,534,56,0.1048689112,34,s,s,21
07X029,P.S./M.S. 029 Melrose School,803,128,0.1594022363,68,59,9,58
07X030,P.S. 030 Wilton,495,116,0.2343434393,56,38,18,55
07X031,P.S./M.S. 031 The William Lloyd Garrison,630,103,0.1634920686,28,20,8,74
07X043,P.S. 043 Jonas Bronck,356,62,0.1741573066,28,21,7,33
07X049,P.S. 049 Willis Avenue,626,134,0.2140575051,72,56,16,60
07X065,P.S. 065 Mother Hale Academy,323,138,0.4272445738,97,79,18,41
07X151,J.H.S. 151 Lou Gehrig,142,50,0.3521126807,16,9,7,31
07X154,P.S. 154 Jonathan D. Hyatt,310,49,0.1580645144,30,19,11,17
07X157,P.S. 157 Grove Hill,558,96,0.1720430106,42,27,15,47
07X161,P.S. 161 Juan Ponce De Leon School,390,65,0.1666666716,28,21,7,35
07X179,P.S. 179,285,48,0.1684210598,28,s,s,16
07X221,South Bronx Preparatory: A College Board School,640,74,0.1156250015,16,s,s,54
07X223,The Laboratory School of Finance and Technology: X,723,84,0.1161825731,28,12,16,54
07X224,P.S./I.S. 224,250,53,0.2119999975,30,15,15,21
07X259,"H.E.R.O. High (Health, Education, and Research Occ",509,82,0.1611001939,34,16,18,44
07X277,P.S. 277,386,69,0.1787564754,34,s,s,35
07X296,South Bronx Academy for Applied Media,248,46,0.1854838729,28,15,13,13
07X298,Academy of Public Relations,201,42,0.2089552283,12,6,6,29
07X334,International Community High School,402,122,0.3034825921,28,19,9,88
07X343,Academy of Applied Mathematics and Technology,300,46,0.1533333361,12,s,s,31
07X359,Concourse Village Elementary School,292,45,0.1541095823,13,s,s,32
07X369,Young Leaders Elementary School,266,84,0.3157894611,28,21,7,53
07X379,Jill Chaifetz Transfer High School,213,31,0.1455399096,19,8,11,10
07X381,Bronx Haven High School,132,22,0.1666666716,12,s,s,7
07X427,Community School for Social Justice,343,79,0.230320707,43,23,20,33
07X444,Home Schooling,141,8,0.0567375869,7,s,s,s
07X473,Mott Haven Village Preparatory High School,241,38,0.1576763541,21,10,11,15
07X495,University Heights Secondary School,601,36,0.0599001646,13,s,s,22
07X500,Hostos-Lincoln Academy of Science,564,45,0.079787232,9,s,s,36
07X522,Bronx Design and Construction Academy,293,35,0.1194539219,16,8,8,18
07X527,Bronx Leadership Academy II High School,500,65,0.1299999952,23,10,13,38
07X533,Learning through Play Pre-K Center,188,16,0.0851063803,9,s,s,7
07X548,Careers in Sports High School,520,88,0.169230774,30,19,11,49
07X551,The Urban Assembly Bronx Academy of Letters,614,100,0.1628664434,36,13,23,59
07X557,Mott Haven Community High School,283,33,0.1166077703,22,9,13,7
07X584,I.S. 584,245,49,0.200000003,24,13,11,23
07X600,Alfred E. Smith Career and Technical Education Hig,456,49,0.1074561402,15,s,s,30
07X625,Walkabout Bronx High School,51,7,0.1372549087,s,s,s,6
07X670,Health Opportunities High School,387,55,0.1421188563,19,11,8,27
07X700,Universal Pre-K C.B.O.,882,77,0.0873015895,51,35,16,25
08X014,P.S. X014 Senator John Calandra,600,48,0.0799999982,11,s,s,34
08X036,P.S. 036 Unionport,751,61,0.0812250301,12,s,s,49
08X048,P.S. 048 Joseph R. Drake,580,146,0.251724124,82,66,16,63
08X062,P.S. 062 Inocensio Casanova,553,108,0.1952983737,65,52,13,41
08X069,P.S. 069 Journey Prep School,582,59,0.101374574,17,7,10,28
08X071,P.S. 071 Rose E. Scala,1435,54,0.0376306623,21,s,s,29
08X072,P.S. 072 Dr. William Dorney,696,66,0.0948275849,32,21,11,33
08X075,P.S. 75 School of Research and Discovery,547,73,0.1334552169,46,30,16,27
08X093,P.S. 093 Albert G. Oliver,361,48,0.1329639852,20,14,6,23
08X100,P.S. 100 Isaac Clason,539,101,0.1873840392,54,s,s,41
08X101,M.S. X101 Edward R. Byrne,552,29,0.0525362305,s,s,s,27
08X107,P.S. 107,542,75,0.138376385,46,27,19,25
08X119,The Dr. Emmett W. Bassett School,655,29,0.0442748107,14,7,7,15
08X123,J.H.S. 123 James M. Kieran,518,109,0.2104247063,37,23,14,70
08X130,P.S. 130 Abram Stevens Hewitt,374,77,0.2058823556,29,s,s,46
08X131,J.H.S. 131 Albert Einstein,420,63,0.150000006,28,16,12,31
08X138,P.S. 138 Samuel Randall,594,70,0.117845118,25,s,s,41
08X140,P.S. X140 The Eagle School,488,93,0.1905737668,37,25,12,54
08X146,P.S. 146 Edward Collins,365,67,0.183561638,35,s,s,30
08X152,P.S. 152 Evergreen,731,155,0.2120383084,69,50,19,86
08X182,P.S. 182,602,58,0.0963455141,31,14,17,20
08X269,Bronx Studio School for Writers and Artists,629,44,0.0699523017,20,13,7,22
08X282,Women's Academy of Excellence,200,28,0.1400000006,9,s,s,15
08X293,Renaissance High School for Musical Theater and th,450,24,0.0533333346,11,s,s,13
08X301,M.S. 301 Paul L. Dunbar,200,40,0.200000003,19,10,9,20
08X302,M.S. 302 Luisa Dessus Cruz,458,79,0.1724890769,38,22,16,40
08X304,P.S. 304 Early Childhood School,538,41,0.0762081817,21,s,s,18
08X312,Millennium Art Academy,394,42,0.1065989882,24,9,15,16
08X320,Pelham Lab High School,405,18,0.0444444455,6,s,s,12
08X333,The Longwood Academy of Discovery,544,92,0.1691176444,37,19,18,52
