DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M064,P.S. 064 Robert Simon,2018-19,223,0,19,42,32,40,29,28,33,0,0,0,0,0,0,0,93,0.417,130,0.583,7,0.031,41,0.184,159,0.713,4,0.018,0,0,12,0.054,0,0,64,0.287,6,0.027,193,86.5%,89.5%
01M064,P.S. 064 Robert Simon,2019-20,236,0,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,0.453,129,0.547,7,0.03,40,0.169,174,0.737,2,0.008,3,0.013,10,0.042,0,0,67,0.284,4,0.017,215,91.1%,91.6%
01M064,P.S. 064 Robert Simon,2020-21,220,0,18,28,24,43,32,43,32,0,0,0,0,0,0,0,97,0.441,123,0.559,7,0.032,40,0.182,160,0.727,2,0.009,1,0.005,9,0.041,1,0.005,61,0.277,4,0.018,202,91.8%,90.3%
01M064,P.S. 064 Robert Simon,2021-22,215,12,15,25,24,24,41,31,43,0,0,0,0,0,0,0,99,0.46,116,0.54,6,0.028,42,0.195,159,0.74,2,0.009,1,0.005,4,0.019,1,0.005,56,0.26,3,0.014,201,93.5%,86.3%
01M110,P.S. 110 Florence Nightingale,2017-18,379,0,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,0.438,213,0.562,64,0.169,37,0.098,168,0.443,10,0.026,1,0.003,99,0.261,0,0,48,0.127,14,0.037,237,62.5%,58.0%
01M110,P.S. 110 Florence Nightingale,2018-19,372,0,34,59,66,59,52,45,57,0,0,0,0,0,0,0,168,0.452,204,0.548,59,0.159,37,0.099,168,0.452,11,0.03,1,0.003,96,0.258,0,0,45,0.121,8,0.022,211,56.7%,59.4%
01M110,P.S. 110 Florence Nightingale,2019-20,396,0,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,0.437,223,0.563,64,0.162,38,0.096,180,0.455,11,0.028,2,0.005,101,0.255,0,0,48,0.121,10,0.025,241,60.9%,62.7%
01M110,P.S. 110 Florence Nightingale,2020-21,373,0,26,61,63,59,63,49,52,0,0,0,0,0,0,0,160,0.429,213,0.571,59,0.158,40,0.107,163,0.437,7,0.019,1,0.003,102,0.273,1,0.003,54,0.145,7,0.019,219,58.7%,65.1%
01M110,P.S. 110 Florence Nightingale,2021-22,330,0,25,51,53,54,48,51,48,0,0,0,0,0,0,0,154,0.467,176,0.533,40,0.121,35,0.106,156,0.473,9,0.027,1,0.003,89,0.27,0,0,52,0.158,7,0.021,207,62.7%,66.3%
01M134,P.S. 134 Henrietta Szold,2017-18,297,0,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,0.441,166,0.559,33,0.111,64,0.215,182,0.613,2,0.007,3,0.01,11,0.037,2,0.007,124,0.418,26,0.088,273,91.9%,90.1%
01M134,P.S. 134 Henrietta Szold,2018-19,281,0,14,43,37,35,45,53,54,0,0,0,0,0,0,0,126,0.448,155,0.552,27,0.096,73,0.26,169,0.601,1,0.004,2,0.007,9,0.032,0,0,121,0.431,24,0.085,263,93.6%,91.6%
01M134,P.S. 134 Henrietta Szold,2019-20,245,0,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,0.473,129,0.527,23,0.094,65,0.265,146,0.596,3,0.012,2,0.008,6,0.024,0,0,105,0.429,18,0.073,Above 95%,Above 95%,94.6%
01M134,P.S. 134 Henrietta Szold,2020-21,217,0,13,21,30,39,37,35,42,0,0,0,0,0,0,0,100,0.461,117,0.539,21,0.097,57,0.263,131,0.604,3,0.014,2,0.009,3,0.014,0,0,94,0.433,12,0.055,206,94.9%,94.2%
01M134,P.S. 134 Henrietta Szold,2021-22,177,6,14,20,25,23,31,30,28,0,0,0,0,0,0,0,87,0.492,90,0.508,13,0.073,51,0.288,103,0.582,5,0.028,1,0.006,3,0.017,1,0.006,67,0.379,8,0.045,Above 95%,Above 95%,Above 95%
01M140,P.S. 140 Nathan Straus,2017-18,371,0,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,0.491,189,0.509,21,0.057,46,0.124,292,0.787,0,0,2,0.005,10,0.027,0,0,122,0.329,36,0.097,328,88.4%,91.3%
01M140,P.S. 140 Nathan Straus,2018-19,385,0,12,30,32,32,26,25,29,64,67,68,0,0,0,0,188,0.488,197,0.512,17,0.044,54,0.14,305,0.792,0,0,0,0,9,0.023,0,0,145,0.377,43,0.112,333,86.5%,90.0%
01M140,P.S. 140 Nathan Straus,2019-20,372,0,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,0.47,197,0.53,11,0.03,60,0.161,293,0.788,0,0,1,0.003,7,0.019,0,0,147,0.395,27,0.073,333,89.5%,93.3%
01M140,P.S. 140 Nathan Straus,2020-21,358,0,12,20,26,26,33,25,32,58,66,60,0,0,0,0,167,0.466,191,0.534,7,0.02,76,0.212,261,0.729,0,0,1,0.003,13,0.036,0,0,135,0.377,26,0.073,340,95.0%,92.5%
01M140,P.S. 140 Nathan Straus,2021-22,340,8,8,27,24,26,25,29,22,57,50,64,0,0,0,0,157,0.462,183,0.538,8,0.024,67,0.197,246,0.724,3,0.009,1,0.003,14,0.041,1,0.003,130,0.382,27,0.079,294,86.5%,91.7%
01M142,P.S. 142 Amalia Castro,2017-18,340,0,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,0.447,188,0.553,8,0.024,43,0.126,281,0.826,0,0,6,0.018,1,0.003,1,0.003,127,0.374,27,0.079,Above 95%,Above 95%,91.1%
01M142,P.S. 142 Amalia Castro,2018-19,353,0,51,48,55,49,51,44,55,0,0,0,0,0,0,0,153,0.433,200,0.567,13,0.037,55,0.156,273,0.773,1,0.003,4,0.011,5,0.014,2,0.006,130,0.368,26,0.074,Above 95%,Above 95%,91.2%
01M142,P.S. 142 Amalia Castro,2019-20,329,3,48,56,43,48,44,45,42,0,0,0,0,0,0,0,147,0.447,182,0.553,4,0.012,54,0.164,253,0.769,2,0.006,6,0.018,8,0.024,2,0.006,110,0.334,22,0.067,Above 95%,Above 95%,90.2%
01M142,P.S. 142 Amalia Castro,2020-21,317,0,43,53,49,37,45,44,46,0,0,0,0,0,0,0,137,0.432,180,0.568,1,0.003,57,0.18,242,0.763,2,0.006,5,0.016,7,0.022,3,0.009,92,0.29,21,0.066,301,95.0%,90.7%
01M142,P.S. 142 Amalia Castro,2021-22,330,26,34,52,51,40,42,43,42,0,0,0,0,0,0,0,155,0.47,175,0.53,1,0.003,54,0.164,251,0.761,2,0.006,5,0.015,15,0.045,2,0.006,83,0.252,18,0.055,307,93.0%,89.7%
01M184,P.S. 184m Shuang Wen,2017-18,684,0,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,0.499,343,0.501,475,0.694,25,0.037,92,0.135,35,0.051,6,0.009,50,0.073,1,0.001,113,0.165,103,0.151,465,68.0%,65.3%
01M184,P.S. 184m Shuang Wen,2018-19,678,0,36,63,64,64,50,65,62,101,88,85,0,0,0,0,337,0.497,341,0.503,468,0.69,27,0.04,89,0.131,39,0.058,3,0.004,51,0.075,1,0.001,109,0.161,99,0.146,461,68.0%,67.2%
01M184,P.S. 184m Shuang Wen,2019-20,707,0,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.704,24,0.034,84,0.119,45,0.064,3,0.004,52,0.074,1,0.001,117,0.165,99,0.14,469,66.3%,67.1%
01M184,P.S. 184m Shuang Wen,2020-21,721,0,36,75,71,55,61,61,51,96,104,111,0,0,0,0,351,0.487,370,0.513,500,0.693,23,0.032,83,0.115,49,0.068,3,0.004,61,0.085,2,0.003,109,0.151,113,0.157,486,67.4%,65.5%
01M184,P.S. 184m Shuang Wen,2021-22,717,15,35,86,70,68,50,57,55,89,96,96,0,0,0,0,347,0.484,370,0.516,501,0.699,14,0.02,83,0.116,56,0.078,2,0.003,59,0.082,2,0.003,105,0.146,95,0.132,449,62.6%,62.1%
01M188,P.S. 188 The Island School,2017-18,433,0,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,0.427,248,0.573,8,0.018,127,0.293,286,0.661,0,0,0,0,12,0.028,0,0,135,0.312,69,0.159,399,92.1%,Above 95%
01M188,P.S. 188 The Island School,2018-19,407,0,16,24,37,32,49,39,55,48,54,53,0,0,0,0,181,0.445,226,0.555,6,0.015,134,0.329,249,0.612,1,0.002,2,0.005,15,0.037,0,0,148,0.364,30,0.074,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2019-20,398,0,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,0.455,217,0.545,11,0.028,125,0.314,250,0.628,0,0,3,0.008,9,0.023,0,0,135,0.339,39,0.098,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2020-21,370,0,9,19,33,29,42,36,47,46,60,49,0,0,0,0,163,0.441,207,0.559,14,0.038,120,0.324,221,0.597,2,0.005,2,0.005,11,0.03,0,0,126,0.341,33,0.089,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2021-22,390,14,9,31,28,37,34,41,37,59,42,58,0,0,0,0,161,0.413,229,0.587,16,0.041,124,0.318,233,0.597,5,0.013,4,0.01,8,0.021,0,0,130,0.333,41,0.105,Above 95%,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,0.474,90,0.526,19,0.111,43,0.251,97,0.567,0,0,2,0.012,8,0.047,2,0.012,41,0.24,23,0.135,157,91.8%,89.9%
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,0,67,70,35,25,91,0.462,106,0.538,19,0.096,53,0.269,112,0.569,0,0,5,0.025,6,0.03,2,0.01,57,0.289,23,0.117,163,82.7%,87.5%
01M292,Orchard Collegiate Academy,2019-20,226,0,0,0,0,0,0,0,0,0,0,0,65,64,65,32,101,0.447,125,0.553,27,0.119,58,0.257,127,0.562,0,0,4,0.018,6,0.027,4,0.018,65,0.288,21,0.093,191,84.5%,87.8%
01M292,Orchard Collegiate Academy,2020-21,296,0,0,0,0,0,0,0,0,0,0,0,108,57,66,65,143,0.483,153,0.517,30,0.101,75,0.253,174,0.588,1,0.003,6,0.02,3,0.01,7,0.024,79,0.267,22,0.074,227,76.7%,83.4%
01M292,Orchard Collegiate Academy,2021-22,290,0,0,0,0,0,0,0,0,0,0,0,79,91,54,66,127,0.438,163,0.562,44,0.152,68,0.234,161,0.555,1,0.003,5,0.017,6,0.021,5,0.017,79,0.272,16,0.055,230,79.3%,84.2%
01M315,The East Village Community School,2017-18,318,0,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,0.506,157,0.494,32,0.101,17,0.053,64,0.201,21,0.066,1,0.003,183,0.575,0,0,56,0.176,4,0.013,86,27.0%,36.9%
01M315,The East Village Community School,2018-19,333,0,36,50,49,50,50,53,45,0,0,0,0,0,0,0,174,0.523,159,0.477,32,0.096,15,0.045,77,0.231,17,0.051,1,0.003,191,0.574,0,0,54,0.162,5,0.015,94,28.2%,34.9%
01M315,The East Village Community School,2019-20,330,0,36,50,47,45,52,46,54,0,0,0,0,0,0,0,164,0.497,166,0.503,32,0.097,15,0.045,76,0.23,18,0.055,1,0.003,188,0.57,0,0,59,0.179,3,0.009,99,30.0%,38.2%
01M315,The East Village Community School,2020-21,297,0,34,50,44,43,40,46,40,0,0,0,0,0,0,0,144,0.485,153,0.515,33,0.111,12,0.04,77,0.259,19,0.064,1,0.003,155,0.522,0,0,51,0.172,4,0.013,98,33.0%,39.8%
01M315,The East Village Community School,2021-22,302,0,35,43,51,48,41,38,46,0,0,0,0,0,0,0,148,0.49,154,0.51,32,0.106,16,0.053,89,0.295,27,0.089,1,0.003,136,0.45,1,0.003,55,0.182,7,0.023,119,39.4%,43.8%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,0.433,115,0.567,18,0.089,47,0.232,128,0.631,2,0.01,0,0,8,0.039,0,0,89,0.438,11,0.054,180,88.7%,84.8%
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,0,69,77,63,0,0,0,0,90,0.431,119,0.569,18,0.086,41,0.196,131,0.627,2,0.01,0,0,17,0.081,0,0,94,0.45,7,0.033,176,84.2%,81.6%
01M332,University Neighborhood Middle School,2019-20,218,0,0,0,0,0,0,0,0,71,72,75,0,0,0,0,82,0.376,136,0.624,16,0.073,43,0.197,137,0.628,2,0.009,0,0,20,0.092,0,0,91,0.417,11,0.05,181,83.0%,81.7%
01M332,University Neighborhood Middle School,2020-21,207,0,0,0,0,0,0,0,0,66,71,70,0,0,0,0,78,0.377,129,0.623,11,0.053,41,0.198,133,0.643,0,0,1,0.005,21,0.101,0,0,90,0.435,8,0.039,166,80.2%,85.3%
01M332,University Neighborhood Middle School,2021-22,196,0,0,0,0,0,0,0,0,66,64,66,0,0,0,0,74,0.378,122,0.622,8,0.041,41,0.209,122,0.622,2,0.01,1,0.005,22,0.112,0,0,86,0.439,5,0.026,157,80.1%,84.9%
01M361,The Children's Workshop School,2017-18,315,0,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,0.463,169,0.537,31,0.098,29,0.092,124,0.394,19,0.06,1,0.003,111,0.352,0,0,73,0.232,9,0.029,144,45.7%,50.5%
01M361,The Children's Workshop School,2018-19,320,0,36,54,47,55,43,48,37,0,0,0,0,0,0,0,149,0.466,171,0.534,31,0.097,33,0.103,127,0.397,16,0.05,1,0.003,112,0.35,0,0,81,0.253,11,0.034,157,49.1%,53.4%
01M361,The Children's Workshop School,2019-20,336,0,38,64,47,45,52,45,45,0,0,0,0,0,0,0,156,0.464,180,0.536,33,0.098,35,0.104,130,0.387,20,0.06,1,0.003,116,0.345,1,0.003,85,0.253,13,0.039,159,47.3%,53.6%
01M361,The Children's Workshop School,2020-21,304,0,29,51,53,48,38,45,40,0,0,0,0,0,0,0,149,0.49,155,0.51,33,0.109,30,0.099,118,0.388,23,0.076,2,0.007,97,0.319,1,0.003,75,0.247,12,0.039,160,52.6%,54.6%
01M361,The Children's Workshop School,2021-22,283,0,32,42,49,44,39,36,41,0,0,0,0,0,0,0,144,0.509,139,0.491,29,0.102,31,0.11,98,0.346,26,0.092,2,0.007,97,0.343,0,0,57,0.201,6,0.021,137,48.4%,52.1%
01M363,Neighborhood School,2017-18,304,0,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,0.49,155,0.51,19,0.063,28,0.092,106,0.349,8,0.026,2,0.007,140,0.461,1,0.003,69,0.227,10,0.033,133,43.8%,47.8%
01M363,Neighborhood School,2018-19,306,0,36,39,59,40,48,44,40,0,0,0,0,0,0,0,145,0.474,161,0.526,21,0.069,27,0.088,115,0.376,11,0.036,3,0.01,129,0.422,0,0,72,0.235,4,0.013,126,41.2%,46.0%
01M363,Neighborhood School,2019-20,306,0,36,50,41,55,42,43,39,0,0,0,0,0,0,0,154,0.503,152,0.497,21,0.069,31,0.101,106,0.346,25,0.082,1,0.003,122,0.399,0,0,67,0.219,4,0.013,128,41.8%,46.2%
01M363,Neighborhood School,2020-21,270,0,25,46,46,30,48,36,39,0,0,0,0,0,0,0,137,0.507,133,0.493,19,0.07,32,0.119,94,0.348,23,0.085,1,0.004,101,0.374,0,0,66,0.244,4,0.015,121,44.8%,49.1%
01M363,Neighborhood School,2021-22,247,0,28,40,38,38,31,43,29,0,0,0,0,0,0,0,118,0.478,129,0.522,16,0.065,21,0.085,89,0.36,24,0.097,1,0.004,95,0.385,1,0.004,60,0.243,4,0.016,105,42.5%,47.8%
01M364,Earth School,2017-18,355,0,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,0.454,194,0.546,24,0.068,40,0.113,139,0.392,31,0.087,0,0,121,0.341,0,0,103,0.29,21,0.059,194,54.6%,55.4%
01M364,Earth School,2018-19,350,0,36,61,54,48,48,57,46,0,0,0,0,0,0,0,157,0.449,193,0.551,25,0.071,38,0.109,141,0.403,28,0.08,0,0,118,0.337,0,0,102,0.291,21,0.06,198,56.6%,57.9%
01M364,Earth School,2019-20,344,0,31,61,54,51,49,45,53,0,0,0,0,0,0,0,147,0.427,197,0.573,18,0.052,40,0.116,136,0.395,31,0.09,0,0,119,0.346,0,0,102,0.297,12,0.035,197,57.3%,57.2%
01M364,Earth School,2020-21,291,0,23,39,53,46,42,46,42,0,0,0,0,0,0,0,121,0.416,170,0.584,19,0.065,36,0.124,118,0.405,33,0.113,0,0,85,0.292,0,0,85,0.292,8,0.027,162,55.7%,60.7%
01M364,Earth School,2021-22,239,0,24,26,30,43,36,40,40,0,0,0,0,0,0,0,106,0.444,133,0.556,15,0.063,27,0.113,107,0.448,23,0.096,0,0,67,0.28,0,0,65,0.272,8,0.033,145,60.7%,65.3%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,0.434,145,0.566,35,0.137,70,0.273,145,0.566,1,0.004,1,0.004,4,0.016,0,0,100,0.391,23,0.09,212,82.8%,85.3%
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,0,63,86,101,0,0,0,0,103,0.412,147,0.588,32,0.128,59,0.236,141,0.564,6,0.024,2,0.008,10,0.04,0,0,97,0.388,25,0.1,213,85.2%,84.9%
01M378,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,0.436,115,0.564,17,0.083,50,0.245,121,0.593,4,0.02,2,0.01,10,0.049,0,0,83,0.407,17,0.083,174,85.3%,85.4%
01M378,School for Global Leaders,2020-21,185,0,0,0,0,0,0,0,0,70,50,65,0,0,0,0,81,0.438,104,0.562,14,0.076,34,0.184,115,0.622,4,0.022,2,0.011,16,0.086,0,0,66,0.357,23,0.124,163,88.1%,90.0%
01M378,School for Global Leaders,2021-22,167,0,0,0,0,0,0,0,0,51,61,55,0,0,0,0,75,0.449,92,0.551,18,0.108,41,0.246,97,0.581,1,0.006,2,0.012,8,0.048,0,0,60,0.359,21,0.126,152,91.0%,87.5%
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,0.426,267,0.574,141,0.303,100,0.215,206,0.443,1,0.002,2,0.004,15,0.032,0,0,80,0.172,49,0.105,415,89.2%,82.9%
01M448,University Neighborhood High School,2018-19,483,0,0,0,0,0,0,0,0,0,0,0,131,139,120,93,230,0.476,253,0.524,178,0.369,94,0.195,184,0.381,2,0.004,2,0.004,22,0.046,1,0.002,82,0.17,71,0.147,421,87.2%,82.8%
01M448,University Neighborhood High School,2019-20,492,0,0,0,0,0,0,0,0,0,0,0,130,122,123,117,233,0.474,259,0.526,187,0.38,81,0.165,198,0.402,2,0.004,2,0.004,22,0.045,0,0,82,0.167,69,0.14,431,87.6%,85.0%
01M448,University Neighborhood High School,2020-21,570,0,0,0,0,0,0,0,0,0,0,0,163,139,137,131,304,0.533,266,0.467,182,0.319,103,0.181,251,0.44,3,0.005,5,0.009,26,0.046,0,0,103,0.181,83,0.146,507,88.9%,83.1%
01M448,University Neighborhood High School,2021-22,522,0,0,0,0,0,0,0,0,0,0,0,118,145,127,132,275,0.527,247,0.473,178,0.341,91,0.174,214,0.41,2,0.004,4,0.008,32,0.061,1,0.002,105,0.201,75,0.144,434,83.1%,80.2%
01M450,East Side Community School,2017-18,683,0,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,0.464,366,0.536,81,0.119,113,0.165,367,0.537,6,0.009,6,0.009,100,0.146,10,0.015,182,0.266,6,0.009,447,65.4%,62.9%
01M450,East Side Community School,2018-19,680,0,0,0,0,0,0,0,0,101,101,108,96,93,91,90,323,0.475,357,0.525,80,0.118,113,0.166,366,0.538,7,0.01,4,0.006,104,0.153,6,0.009,187,0.275,9,0.013,456,67.1%,65.4%
